Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Noncommunicable diseases,1135,1134.88,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Tetanus,0,0.21,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Infectious and parasitic diseases,640,639.63,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other respiratory diseases,4,4.45,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Poisonings,3,3.21,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Prostate cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Peptic ulcer disease,1,1.45,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Alzheimer's disease and other dementias,1,1.42,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Parasitic and vector diseases,12,12.02,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Noncommunicable diseases,337,337.37,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Tuberculosis,26,25.52,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Congenital heart anomalies,1,0.68,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Parkinson's disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Alcohol use disorders,2,1.59,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Exposure to forces of nature,0,0.19,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Digestive diseases,214,214.48,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Intestinal nematode infections,0,0.01,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Gynecological diseases,0,0.48,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Prostate cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Communicable & other Group I,230,229.75,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Respiratory infections,155,155.34,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Pancreas cancer,1,0.82,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Rheumatic heart disease,5,4.88,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other mental and behavioural disorders,0,0.45,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Measles,0,0.03,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Nutritional deficiencies,32,31.55,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other STDs,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Congenital anomalies,1,1.15,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other circulatory diseases,8,8.40,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Schistosomiasis,2,2.44,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,HIV/AIDS,41,41.10,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Intestinal nematode infections,0,0.12,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Epilepsy,9,9.14,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other musculoskeletal disorders,1,0.79,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Drowning,5,4.89,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Skin diseases,4,3.51,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Alcohol use disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Cardiovascular diseases,533,533.36,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other respiratory diseases,6,5.79,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Appendicitis,3,3.38,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Encephalitis,3,2.77,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,"Trachea, bronchus, lung cancers",3,3.18,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,STDs excluding HIV,11,11.21,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Ascariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Otitis media,0,0.09,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Oesophagus cancer,3,2.92,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Bladder cancer,1,0.70,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other chromosomal anomalies,0,0.02,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Bladder cancer,10,10.02,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Malignant neoplasms,50,50.34,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Acute hepatitis C,1,1.17,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Chronic obstructive pulmonary disease,61,60.95,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Multiple sclerosis,0,0.33,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Cervix uteri cancer,83,83.39,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Leishmaniasis,1,0.50,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Parasitic and vector diseases,61,61.48,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Mental and behavioral disorders,2,2.25,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Melanoma and other skin cancers,1,0.67,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Kidney diseases,11,11.01,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Acute hepatitis B,2,2.48,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Prostate cancer,3,2.69,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Collective violence and legal intervention,0,0.22,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Drug use disorders,4,3.73,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Intentional injuries,33,33.09,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Upper respiratory infections,0,0.21,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Genitourinary diseases,52,52.21,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other unintentional injuries,27,26.62,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Ascariasis,0,0.01,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Road injury,60,59.53,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other genitourinary diseases,16,15.87,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,"Lymphomas, multiple myeloma",3,3.15,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Diphtheria,0,0.02,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Pancreas cancer,1,0.73,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Road injury,13,13.15,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Mental and behavioral disorders,0,0.43,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Tuberculosis,259,258.67,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other neonatal conditions,4,4.17,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Rheumatoid arthritis,1,0.96,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other infectious diseases,11,10.88,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Leukaemia,1,1.42,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Down's syndrome,0,0.26,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Stroke,223,223.28,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Leishmaniasis,2,2.29,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Nutritional deficiencies,48,48.48,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Liver cancer,0,0.16,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Diarrhoeal diseases,140,139.78,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Chronic obstructive pulmonary disease,3,2.54,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Neural tube defects,0,0.06,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Childhood-cluster diseases,16,16.24,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Infectious and parasitic diseases,257,257.09,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other nutritional deficiencies,0,0.06,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Dengue,0,0.19,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Schistosomiasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other neoplasms,2,1.81,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other digestive diseases,5,4.57,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Congenital anomalies,22,21.67,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Cardiovascular diseases,96,95.57,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other digestive diseases,21,20.54,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Collective violence and legal intervention,7,7.11,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Colon and rectum cancers,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Hypertensive heart disease,5,5.22,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Respiratory infections,198,198.13,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Kidney diseases,4,3.97,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Self-harm,7,7.40,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Respiratory diseases,28,28.08,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Acute hepatitis C,0,0.29,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Tuberculosis,0,0.44,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Diphtheria,0,0.20,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other infectious diseases,14,14.17,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Leishmaniasis,5,4.68,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Parkinson's disease,4,4.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Neonatal conditions,0,0.00,,,
